A lot	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Dish	ᎤᎿᏩ	[uhnawa] /rrd/
Dislikes him	ᎦᏁᎵᎭ	[ganéːliːha] /rrd/
Disposing of a body	ᎦᏂᏌᎲᏍᎦ	[ganiːsáhvːsga] /rrd/
Distance	ᏂᎨᎢ	[nigeːi] (at a) /rrd/
Distress	ᎡᎯᏍᏗ	[ehihsdi] /rrd/
Diving	ᎠᎵᎬᏯᏍᎦ	[aligvyhsga] /rrd/
Doctor	ᎦᎾᎦᏘ	[gaʔnakdi] /rrd/
Doctoring him	ᎧᏅᏫᎠ	[kanvːwiʔa] /rrd/
Dog	ᎩᎵ	[giːhli] /rrd/
Doing it	ᎠᏛᏁᎭ	[aːdvneːha] (something non-specific) /rrd/
Doing it	ᎾᏛᏁᎭ	[naːdvneːha] (something specific) /rrd/
Dolichovespula maculata	ᏎᏩᏓ	[seːhwada] /rrd/
Dollar	ᎠᏕᎸᎢ	[adeːlvʔhi] /rrd/
Door	ᎠᏍᏙᏗ	[ahsduhdi] /rrd/
Doorway	ᎦᎶᎯᏍᏗ	[galohisdi] /rrd/
Dotted	ᎤᏚᎢᏍᎦ	[uduːʔiːsga] /rrd/
Dough	ᎦᏚᎳᏍᏗ	[gadulaːsdi] /rrd/
Down	ᎡᎸᏗ	[elvːdi] /rrd/
Down below	ᎡᎳᏗ	[eːladi] /rrd/
Downhill	ᎨᏓᎵ	[keːdali] /rrd/
Downy woodpecker	ᏥᏍᏇᏄᏨ	[tsiːsgwenuːtsv] /rrd/
Dragging it	ᎦᎾᏏᏂ	[gansíːni] /rrd/
Drama	ᏗᎾᏛᏁᎵᏍᎬᎢ	[diːnadvːneːlisgvʔi] /rrd/
Drawing	ᏓᏥᎶᏍᏗᎭ	[daʔtsiːlóːsdiːha] /rrd/
Dreaming about it	ᎠᏍᎩᏘᏍᎦ	[ahsgíːtshga] /rrd/
Dreaming of many things	ᎠᏍᎩᏥᏒᏍᎦ	[ahsgiːtshsvʔvhsga] /rrd/
Dress	ᎠᏌᏃ	[asano] /rrd/
Dressing	ᏓᎿᏬᎠ	[daːhnawoʔa] /rrd/
Drinking	ᎠᏗᏔᏍᎦ	[adíhtahsga] /rrd/
Dripping	ᎦᏍᏉᎸᏍᎦ	[gaːsgwoːlvːsga] /rrd/
Driving a car	ᎠᏰᎵ	[ahyeːli] /rrd/
Driving it	ᎦᏅᏫᏍᏗᎭ	[gaːhnvwsdiha] /rrd/
Driving it in	ᎠᎭᏔᏍᎦ	[aːhatahsga] /rrd/
Driving recklessly fast on dangerous rural or mountain roads	ᎠᏳᏲᎰᏍᎦ	[aːyuːyohohsga] /rrd/
Driving recklessly fast on dangerous rural or mountain roads	ᏕᎦᏳᏲᎰᎾᏗᎭ	[deːgayuːyoːhoːhndiha] /rrd/
Dropping accidentally it	ᎤᏬᎰᏎᎭ	[uːwohóseha] (something solid) /rrd/
Dropping it	ᎪᎲᎾᏗᎭ	[goːhvːhndiha] (a liquid) /rrd/
Dropping it	ᎠᏐᎣᏅᏗᎭ	[ahsoʔoːhndiha] (something long) /rrd/
Dropping it	ᎪᎰᎾᏗᎭ	[goːhóhndiha] (something solid) /rrd/
Dropping it, knocking off	ᎠᏙᎥᏅᏗᎭ	[adoːʔvhndiha] (something alive) /rrd/
Dropping it, knocking off	ᎠᏙᎥᏅᏗᎭ	[adoːʔvhndiha] (something flexible) /rrd/
Drowning	ᎠᎬᎦ	[agvːga] /rrd/
Drowning	ᎦᏃᏴᎦ	[ganoːyv́ːga] /rrd/
Drowning him	ᎠᎬᏯᏍᎦ	[agvʔyhsga] /rrd/
Drum	ᎠᎱᎵ	[ahuʔli] /rrd/
Drying it	ᎠᎧᏲᏗᎭ	[akahyoʔdiha] /rrd/
Drying it out	ᎠᎧᏲᏗᎭ	[ahkahyóhdiha] /rrd/
Dryobates pubescens	ᏥᏍᏇᏄᏨ	[tsiːsgwenuːtsv] /rrd/
Dryocopus pileatus	ᎨᏉᎬ	[geʔgwoːgv] /rrd/
Dryopteris spp	ᏲᎾ ᎤᏤᏍᏓ	[yoːna utseːsda] /rrd/
Duck	ᎧᏬᏄ	[kawoːnu] /rrd/
Dumetella carolinensis	ᎤᏥᎹ	[uːtsiʔma] /rrd/
During the year	ᎤᏕᏗᏴᏌᏗᏒᎢ	[uːdehdiːyvːsadiːsvːʔi] /rrd/
Dwarf chestnut	ᎤᏅᎩᏅ	[uhnvgiːnv] /rrd/
Dwarf crested iris	ᎤᏍᎦᎢ	[usgaʔhi] /rrd/
Dwelling	ᎡᎯ	[ehi] /rrd/
Eager	ᎤᎵᏔᏁᎭ	[uːhlihtáːʔneha] /rrd/
Eagle	ᎠᏬᎯᎵ	[awohili] /rrd/
Ear	ᎦᎴᏂ	[galeʔni] (his) /rrd/
Ear rings	ᏧᎾᏥᎠᏙᎯ	[tsuːnatsiʔadoːhi] /rrd/
Earache	ᎤᎵᏍᏆᏗᏍᎬᎢ	[uːliːsgwaʔdisgvːʔi] (his) /rrd/
Earth	ᎡᎶᎯ	[eːlohi] /rrd/
East	ᎧᎸᎬᎢ	[kaːlvgvʔi] /rrd/
Easter	ᏧᏪᏥ ᏓᏂᏑᏫᏍᎬᎢ	[tsuweːtsi danisuːwisgvʔi] /rrd/
Eastern bluebird	ᏣᏉᎳᏕ	[tsaːgwoːlde] /rrd/
Eastern cottontail	ᏥᏍᏚ	[tsisdu] /rrd/
Eastern kingbird	ᏗᎴᏆ	[dileːgwa] /rrd/
Eastern newt	ᏓᎴᏴᏍᎩ	[daleːyvːsgi] /rrd/
Eastern racer	ᎤᎦᏑᎯ	[uːgsuhi] /rrd/
Eastern towhee	ᏧᏬᏍᎦ	[tsuwoːsga] /rrd/
Eastern whip-poor-will. Whip-poor-will	ᏩᎫᎵ	[waguːli] /rrd/
Eating a meal	ᎠᎵᏍᏓᏴᎲᏍᎦ	[ahlsdáʔyvhvsga] /rrd/
Eating it	ᎠᏯᎩᎠ	[ayágiʔa] (something flexible) /rrd/
Eating it	ᎠᏍᏗᎩᎠ	[ahsdíːgiʔa] (something long) /rrd/
Eating it	ᎠᎩᎠ	[agiʔa] (something solid) /rrd/
Ectopistes migratorius	ᏬᏱ	[woːyi] /rrd/
Edge of	ᎠᏍᏛᎢ	[ahsdvːʔi] (at the) /rrd/
Eel	ᏛᏕᏆ	[tvːdeːgwa] /rrd/
Egg	ᎤᏪᏥ	[uweːtsi] /rrd/
Eight	ᏣᏁᎳ	[tsaːneːla] /rrd/
Eighteen	ᏁᎳᏚᎯ	[neːladuhi] /rrd/
Eighty	ᏁᎳᏍᎪᎯ	[neːlsgoːhi] /rrd/
Elastic	ᎠᏣ ᏗᏓᎾᎩᏍᎩ	[aːtsa diːdanagiːsgi] /rrd/
Elbowing him	ᎠᎪᏍᎩᏍᏗᎭ	[aːkohsgiːsdiha] /rrd/
Elderberry	ᎪᏒᎦ	[goːsvʔga] /rrd/
Electricity	ᎠᎾᎦᎵᏍᎩ	[anaʔgalihsgi] /rrd/
Elephant	ᎧᎹᎹ	[kamaːma] /rrd/
Eleven	ᏐᏚᎯ	[soʔduhi] /rrd/
Elk	ᎠᏩ ᎤᏔᎾ	[ahwa uːtana] /rrd/
Elm	ᏧᎩᏅ	[tsuʔgiːnv] /rrd/
Emitting body gas	ᎠᏌᎩᎠ	[aːsahgiːʔa] /rrd/
Empidonax minimus	ᏥᎪᏱᏙᏍᏗ	[dsgoːyiʔdosdi] /rrd/
End	ᎠᏍᏛᎢ	[ahsdvːʔi] /rrd/
End	ᎣᏂ	[ohni] /rrd/
Ending it	ᏓᏍᏆᏗᎠ	[daːsgwaːdía] /rrd/
Enemy	ᎤᏍᎦᎩ	[uːsgaːgi] (his) /rrd/
Englishmen	ᎠᏂᎩᎵᏏ	[aniːgilihsi] /rrd/
Enough	ᏰᎵᏉ	[yeːliːgwo] /rrd/
Entering it	ᎠᏴᎯᎭ	[ayvhiha] /rrd/
Equus asinus x Equus caballus	ᏔᏁᏆ	[taneːgwa] /rrd/
Equus ferus caballus	ᏐᏈᎵ	[soːgwili] /rrd/
Equus spp	ᏧᏂᎶᏗ ᏐᏈᎵ	[tsuːniːloːhdi soːgwili] /rrd/
Erasing it	ᎪᏪᎳᎩᎠ	[gohweːlagiʔa] /rrd/
Eriophorum spp	ᏥᏍᏚ ᏍᎩᏓᏘ	[tsiːsdu sgiːdati] /rrd/
Eupetorium spp	ᎪᎳᎧᎩᏍᏗ	[koːlakagiːsdi] /rrd/
Evaporated	ᎤᎶᏐᏅ	[uloʔsohnv] /rrd/
Evening	ᎤᎵᏏᏂᏕᎾ	[uːlsihniːdeːna] /rrd/
Evening star	ᎠᎾᏓᏥ	[andaːtsi] /rrd/
Everywhere	ᏂᎬᎢ	[nikvʔi] /rrd/
Examining it	ᎠᎪᎵᏰᎠ	[agoːlíːyeʔa] /rrd/
Exiting	ᎦᏄᎪᎦ	[ganuːgóːga] /rrd/
Eye	ᎠᎦᏙᎵ	[aktoːli] (his) /rrd/
Eye	ᎠᎧᏅᎢ	[akaːnvːʔi] (his) /rrd/
Eye ball	ᎠᎦᏔ	[akta] /rrd/
Eyebrow	ᎤᎦᏘᏳᏩᏅᎢ	[uːktiyuːwanvːʔi] (his) /rrd/
Eyelash	ᎤᎧᏛᎢ	[uːkadvʔi] (his) /rrd/
Eyelid	ᎤᎦᏔᏄᎶᏓ	[uːktanuːloʔda] (his) /rrd/
Face	ᎤᎧᏛᎢ	[uːkadvʔi] (his) /rrd/
Fading	ᎠᏍᎪᎸᎦ	[ahsgoːlvga] /rrd/
Fading clothes	ᏓᏍᎪᎸᎢᏍᏗᎭ	[daːsgolvʔisdiha] /rrd/
Fagus grandifolia	ᎫᏏ	[kuːsi] /rrd/
Failing	ᎤᏄᎸᎲᏍᎦ	[uːnúːlvhvhsga] /rrd/
Fainting	ᎤᎸᏖᎭ	[uːlvːteha] /rrd/
Falco columbarius	ᏌᎾᏩ	[saːnawa] /rrd/
Falco sparverius	ᎩᎩ	[giːgi] /rrd/
Fall	ᎤᎶᎪᎰᏍᏗ	[uloːgohosdi] (season) /rrd/
Falling	ᎦᎶᎣᏍᎦ	[galoʔǒːhsga] /rrd/
Falling	ᎪᎰᏍᎦ	[goːhoːsga] /rrd/
Falling	ᎦᏙᎣᏍᎦ	[gadoʔoːsga] (a liquid) /rrd/
Falling	ᎦᏄᎪᎣᏍᎦ	[ganuːgoʔosga] (multiple falls) /rrd/
Falling	ᎦᏙᎣᏍᎦ	[gadoʔoːsga] (something flexible) /rrd/
Falling	ᎠᏐᎣᏍᎦ	[ahsoʔohsga] (something long) /rrd/
Falling	ᎪᎰᏍᎦ	[goːhoːsga] (something solid) /rrd/
Falling to the ground	ᎦᏅᎦ	[ganv́ːga] /rrd/
False hellebore	ᎠᏍᏋᏁᏓ	[asgwvneːda] /rrd/
False rhubarb	ᏧᏂᏦᏴᏍᏗ	[tsuːhnitsoːhysdi] /rrd/
False solomon's seal	ᎤᏗᎵᏍᏗ	[udihlisdi] /rrd/
Family	ᏚᎵᏗᎾᎥᎢ	[duːldiːnaʔvʔi] (his) /rrd/
Family Anatidae	ᎧᏬᏄ	[kawoːnu] /rrd/
Family Aphididae	ᏘᎾ	[tiːna] /rrd/
Family Scincidae	ᏣᏁᏅ	[tsaneːnv] /rrd/
Family Soricidae	ᏔᎳᏍᎨᏫ	[taːhlsgeːwi] /rrd/
Family Tettigoniidae	ᏥᎩᎩ	[tsigiːgi] /rrd/
Family Vespertilionidae	ᏣᎹᎭ	[tsaːmaha] /rrd/
Far	ᎢᎾ	[iːna] /rrd/
Far far away	ᎢᏅᎯᏳ	[iːnvhiːyu] /rrd/
Farting	ᎠᏌᎩᎠ	[aːsahgiːʔa] /rrd/
Fast	ᎤᎵᏍᏓ	[uhlihsda] /rrd/
Fast	ᎦᏨᏄᎳ	[gaːtsvnuːla] /rrd/
Fastening	ᎠᏍᏓᏱᏗᎠ	[ahsdáːʔyiːdiʔa] /rrd/
Fat	ᎦᎵᏦᎯᏓ	[gaːhltsoːhiːda] /rrd/
Father	ᎤᏙᏓ	[uːdoːda] /rrd/
Father's brother	ᎤᏙᏓ	[uːdoːda] /rrd/
Father's brother's wife	ᎤᏘᎾᎢ	[uːtinaʔi] (his) /rrd/
Father's father	ᎤᏂᏏ	[uːniːsi] (his) /rrd/
Father's sister	ᎤᎶᎩ	[uːhloːgi] (his) /rrd/
Fearless	ᏍᎦᏎᏅ	[sgaseːhnv] /rrd/
Feather	ᎤᎩᏓᎵ	[ugiːdahli] /rrd/
February	ᎦᎵᎦᎵ	[gaːhlgaːli] /rrd/
Federal government officials	ᎠᏂᏩᏥᏂ	[aniːwaːtsiːni] /rrd/
Feeding him, it	ᎨᎶᎭ	[gehloːha] /rrd/
Feeling it	ᎠᏒᏂᎭ	[ahsv́hniha] /rrd/
Felis silvestris catus	ᏪᏌ	[weːhsa] /rrd/
Female rattlesnake	ᏓᎶᏂᎨ ᎤᏦᏅᏗ	[daloːnige utsoːnvdi] /rrd/
Fen orchid	ᎤᏲᏓᎵᏳᏍᏗ	[uyodaːhliyusdi] /rrd/
Fence	ᎠᏦᏴᎢ	[aʔtsoːhyvːʔi] /rrd/
Fence lizard	ᏔᏳᎭᎵ	[tayuːhaːli] /rrd/
Festival	ᏗᎾᏛᏁᎵᏍᎬᎢ	[diːnadvːneːlisgvʔi] /rrd/
Fetching, getting it	ᎦᏁᎩᏏ	[ganeːgiːsi] (a liquid) /rrd/
Fetching, getting it	ᎦᎾᎩᏏ	[ganagiːsi] (something alive) or (something flexible) /rrd/
Fetching, getting it	ᎠᏱᎠ	[ayíːʔa] (something long) /rrd/
Fetching, getting it	ᎠᎩᏏ	[agiːsi] (something solid) /rrd/
Fever	ᎤᏗᎴᎩ	[udileːgi] /rrd/
Feverish	ᎤᏗᎴᎲᏍᎦ	[uːdileːhvhsga] /rrd/
Field	ᏦᎨᏏ	[tsogeːsi] /rrd/
Fifteen	ᎯᏍᎦᏚᎯ	[hiːsgaduhi] /rrd/
Fifty	ᎯᎩᏍᎪᎯ	[hiːksgoːhi] /rrd/
Fighting	ᎠᎵᎭ	[ahliha] /rrd/
Filling it	ᎠᎧᎵᎢᎭ	[ahkaliːʔiha] /rrd/
Finally	ᎤᎵᏍᏆᎸᏗ	[uːhlsgwáːldi] /rrd/
Finding it	ᎦᏁᏫᏗᎭ	[ganéhwdiha] (a liquid) /rrd/
Finding it	ᎦᎾᏫᏘᎭ	[ganáːhwtiha] (something alive) or (something flexible) /rrd/
Finding it	ᎠᏴᏫᏘᎭ	[ayv́hwtiha] (something long) /rrd/
Finding it	ᎠᏩᏘᎭ	[ahwáhtiha] (something solid) /rrd/
Finger	ᎠᏰᏌᏛᎢ	[ahyeːsadvːʔi] /rrd/
Fingernail	ᎤᏰᏑᎧᎸᎢ	[uhyeːsuhgahlvːʔi] (his) /rrd/
Finishing	ᎠᏍᏛᏍᎦ	[ahstvhsga] /rrd/
Fire	ᎠᏥᎳ	[atsiːla] /rrd/
Fire	ᎬᏓ	[gvːda] (in a) /rrd/
Fire, uncontrolled	ᎦᎵᎬ	[galiːgv] /rrd/
Firearm	ᎦᎶᏇ	[galogwe] /rrd/
Firecracker plant	ᎤᏍᏆᏙ	[uhsgwado] /rrd/
Fireplace	ᎠᏥᎳᎯ	[atsiːlaːhi] /rrd/
Fireside	ᎠᏥᎳᏳᎶᏗ	[atsiːlaːyuhldi] /rrd/
Firing a gun	ᎠᏍᏓᏲᎯᎭ	[ahsdayoːhiha] /rrd/
First	ᎠᎬᏱ	[agvːyi] /rrd/
Fish	ᎠᏣᏗ	[atsadiʔi] /rrd/
Fish hawk	ᎧᏅᏧᏩ	[kanvːtsuːhwa] /rrd/
Fish hook	ᎠᏧᏗ	[atsúʔdi] /rrd/
Fishing	ᎠᏧᎲᏍᎦ	[ahtshúhvhsga] /rrd/
Fishing pole	ᎦᏛᏗ	[gadvːdi] /rrd/
Fist	ᎤᏍᏇᏅᎯ	[uhsgweːnvhi] (his) /rrd/
Fist fighting	ᏓᏓᏛᏂᎭ	[daːdaːdvːhniha] /rrd/
Five	ᎯᏍᎩ	[hiːsgi] /rrd/
Flag	ᎦᏓᏘ	[gaːdati] /rrd/
Flashlight	ᎠᏨᏍᏙᏗ	[atsvhstdi] /rrd/
Flat	ᎠᏯᏖᎾ	[ayaːteːna] /rrd/
Flea	ᏧᎧ	[tsuːka] /rrd/
Flesh	ᎤᏇᏓᎸᎢ	[uːgweːdahlvːʔi] (his) /rrd/
Flint	ᏚᏫᏍᎦᎵ	[duwisgali] /rrd/
Flipping it	ᎦᎸᏛᏂᎭ	[galvːdv́ʔniːha] /rrd/
Flipping it with his finger	ᎠᏆᏲᎯᎭ	[agwayohiha] (something alive) /rrd/
Flirting with her	ᎠᏥᏚᎥᏍᎦ	[atshtuːʔvhsga] /rrd/
Floating	ᎧᏄᎯ	[kanuhi] /rrd/
Floating it	ᎧᏄᎲᏗᎭ	[kanuhv́hdiha] /rrd/
Flooding	ᎦᏅᎱᎩᎠ	[ganvːhuːgiʔa] /rrd/
Floor	ᎠᏲᏓᏌᎲᎢ	[aːyodʔasahvʔi] /rrd/
Floor	ᎡᎳᏗ	[eːladi] (on the) /rrd/
Florida	ᏧᎦᏃᏮᎢ	[tsugaːnowvʔi] /rrd/
Flour	ᎤᏣᎴᏍᏗ	[uːtsaleːsdi] /rrd/
Flour corn	ᏎᎷᏯᎯ	[seːluːyahi] /rrd/
Flower	ᎠᏥᎸᏍᎩ	[atsilvhsgi] /rrd/
Flower is falling off	ᎠᏥᎳᏙᎣᏍᎦ	[atsiːladoʔohsga] /rrd/
Flowing	ᎠᎨᏯ	[ageːʔya] /rrd/
Flowing	ᎨᏯ	[geʔya] /rrd/
Flute	ᎦᏤᎷᎩᏍᏙᏗ	[gaːtseːhlukiːsdoːhdi] /rrd/
Flying	ᎦᏃᎯᎵ	[ganoːhíːli] /rrd/
Flying away	ᎠᎳᏫᏗᎭ	[ahlawíːdiha] /rrd/
Flying squirrel	ᏕᏩ	[deːwa] /rrd/
Foam	ᎤᏬᎩᎵ	[uwoːgili] /rrd/
Foaming	ᎦᏬᎩᎳᏍᎦ	[gawóːkilaːsga] /rrd/
Fog	ᎤᎧᎭᏗ	[ukahaːdi] /rrd/
Folding it	ᎠᏴᏈᏛᎥᏍᎦ	[ayvgwidv́ːʔvhsga] /rrd/
Following	ᎠᏍᏓᏩᏗ	[ahsdáʔwadi] /rrd/
Food	ᎤᎵᏍᏓᏴᏗ	[uːhlsdahydi] /rrd/
Foot	ᎤᎳᏏᏕᏂ	[uːhlasihdeːni] (his) /rrd/
For the duration of	ᎢᎪᎯᏛ	[iːgohiːdv] /rrd/
Forehead	ᎠᎬᏗᎨᏂ	[agvːdigeːni] (his) /rrd/
Forgetting it	ᎤᏩᎨᏫᏍᎦ	[uːwaːhkéːwhsga] /rrd/
Fork	ᏴᎩ	[yvːgi] /rrd/
Fork in the branch of a tree	ᎤᎶᏥᎬ	[uːloːdskvː] /rrd/
Forming	ᎪᏒᏍᎦ	[gósvːsga] /rrd/
Forty	ᏅᎩᏍᎪᎯ	[nvːksgoːhi] /rrd/
Foul ball	ᏬᏰ	[woːye] (stickball) /rrd/
Four	ᏅᎩ	[nvːki] /rrd/
Fourteen	ᏅᎦᏚᎯ	[nvːgaduhi] /rrd/
Fox	ᏧᎳ	[tsuːla] /rrd/
Fox grapes	ᎤᏂᏖᎸᎳᏗ	[unitelvːlahdi] /rrd/
Fox grapes	ᏖᎸᎳᏗ	[telv́laːdi] /rrd/
Fox squirrel	ᏌᎶᎵ ᏬᏗ	[saloːli woːhdi] /rrd/
Fragaria virginiana	ᎠᏂ	[aːni] /rrd/
Fraxinus L	ᏧᎦᏃᏅ	[tsuːganoːnv] /rrd/
Freckles	ᎤᏁᏘ	[uneːti] /rrd/
Free labor company	ᎦᏚᎩ	[gaːduːgi] /rrd/
Freeing	ᎤᏲᏍᎦ	[uːyoːsga] /rrd/
Freezer	ᎠᏴᏣᏗᏍᏗᏍᎩ	[ahyvːtsadʔisdihsgi] /rrd/
Freezer	ᎤᏁᏍᏓᎵ ᎪᏒᏍᎩ	[unehsdahl gohsvhsgi] /rrd/
Freezing	ᎤᏁᏍᏓᎳᏗᎠ	[uːnehsdaːldiʔa] /rrd/
Frenchmen	ᎠᏂᎦᎸᏥ	[aniːgalvːhtsi] /rrd/
Friday	ᏧᏂᎩᎶᏍᏗ	[tsuːhnigiloːsdi] /rrd/
Friend	ᎤᎾᎵᎢ	[uːnaːli̋ʔi] (his) /rrd/
Friends	ᎤᎾᎵᎢ	[uːnaːli̋ʔi] (they are) /rrd/
Friendship	ᎠᎵᎢ	[aːliʔi] /rrd/
Frightening him	ᎠᏖᏍᏗᎭ	[ateːsdiha] /rrd/
Frog	ᎦᎵᏉᎩ	[gaːhlgwoːgi] /rrd/
Frog	ᏕᎧ	[deːka] /rrd/
From	ᎬᏗ	[gvːhdi] /rrd/
From ….	ᏓᏳᎶᏒᎯ	[dayulóːsvhi] (place name) /rrd/
Frost on ground	ᎤᏯᏛᎲ	[uhyahtvhv] (white) /rrd/
Frost on the ground	ᎤᎾᏄᏍᏗ	[uːnaːʔnuhsdi] (ice) /rrd/
Frying it	ᎬᎿᏬᏗᎭ	[gvːhnawóhdiha] /rrd/
Frying meat	ᏕᎬᏣᎳᏍᎦ	[deːgvːtshalǎːhsga] /rrd/
Full	ᎤᏑᎵᎭ	[uːhsuːliha] /rrd/
Full moon	ᎧᎵ ᏅᏓ	[kali nvːda] /rrd/
Funny	ᎤᏬᏥᏗ	[uːwotsdi] /rrd/
Gall bladder	ᏓᎶᏂ	[daloːni] /rrd/
Gallon	ᎢᏳᏥᎶᏓ	[iːyuːtsiːloːda] /rrd/
Gallon	ᏑᏥᎶᏓ	[sutsiloːda] /rrd/
Gallus gallus domesticus	ᏥᏓᎦ	[tsidaːga] /rrd/
Gap in the mountain	ᎤᏴᎳᏛ	[uyvlatv] /rrd/
Garden	ᎠᏫᏒᏗᏳ	[ahwiːsvdiːyu] /rrd/
Garden hose	ᎠᎹ ᎤᏪᏓᏍᏗ	[am uwedʔasdi] /rrd/
Garden snake	ᎣᏛᎳᏘᎢ	[odvːhlaʔtiʔi] /rrd/
Garter snake	ᎣᏛᎳᏘᎢ	[odvːhlaʔtiʔi] /rrd/
Gasoline	ᎪᎢ	[goʔi] /rrd/
Gasteroid fungi	ᏃᏈᏏ ᎤᏍᏗ	[noːkwisi uːsdi] /rrd/
Gastropod - family helicidae	ᎡᎶᏆ	[eːlogwa] /rrd/
Gathering things	ᎦᎩᏍᎭ	[gagiːsha] /rrd/
Gathering together	ᎠᎾᏓᏥᎩᎭ	[anadadsgiha] (they are) /rrd/
Gaylussacia baccata	ᎧᏩᏯ	[kaːwaya] /rrd/
Gaylussacia ursina	ᎡᎶᏘᏍᎩ	[eloːtisgi] /rrd/
Georgia	ᏣᏥᏯ	[tsatsiya] /rrd/
Germans	ᎠᏂᏓᏥ	[aniːdaːtsi] /rrd/
Getting it	ᎠᎩᎠ	[agíːʔa] (something solid) /rrd/
Getting onto it	ᎠᎩᎸᎥᏍᎦ	[ahkilvʔvhsga] /rrd/
Getting ready	ᎠᏛᏅᎢᏍᏗᎭ	[advːnvːʔihsdiha] /rrd/
Getting shallow	ᎦᏅᏬᎦ	[ganvːwoʔga] /rrd/
Getting something in his eye	ᎤᎦᏑᎲᏍᎦ	[uːksuːhvːhsga] /rrd/
Getting there	ᎦᎷᎦ	[gaʔluhga] /rrd/
Getting up	ᎠᏗᏗᎠ	[adiːdiʔa] (from bed) /rrd/
Getting well	ᎠᏗᏫᏍᎦ	[adiːhwsga] /rrd/
Ghost	ᏥᎩᎵ	[tsgiːli] /rrd/
Giant ragweed	ᎤᏆᏍᏓᎷᏱᏓ	[ugwasdaːluhyda] /rrd/
Ginseng, American	ᎣᏓᎵᎦᎵ	[oːdaligaʔli] /rrd/
Girl, preteen	ᎠᏳᏣ	[ahyutsa] /rrd/
Girl, teenage	ᎠᏔ	[aːta] /rrd/
Giving birth	ᎠᎷᎸᎥᏍᎦ	[aluːlv́ːʔvʔhsga] /rrd/
Giving birth	ᎦᎧᎲᏍᎦ	[gahkahv̌ːhsga] /rrd/
Giving it	ᎦᏁᏁᎭ	[ganeːneha] (a liquid) to him /rrd/
Giving it	ᎦᏅᏁᎭ	[ganvːneha] (something flexible) to him /rrd/
Giving it	ᎠᏁᎭ	[aːhneha] (something solid). (alternate) /rrd/
Giving it	ᎠᏓᏁᎭ	[adahneha] (something solid). (older form of verb) /rrd/
Giving it to him	ᎠᎧᏁᎭ	[akaːneha] (something alive) /rrd/
Giving it to him.	ᎠᏕᎭ	[adeːha] (something long) /rrd/
Giving thanks	ᎠᎵᎮᎵᎦ	[alihéːliʔga] /rrd/
Giving up	ᎠᏓᏲᏍᎦ	[adahyohsga] /rrd/
Glass	ᎤᏁᏍᏓᎵ	[uːnehsdahli] /rrd/
Glaucomys volans	ᏕᏩ	[deːwa] /rrd/
Gleditsia triacanthos	ᎧᎵᏎᏥ	[kaːhlseːtsi] /rrd/
Glorifying it	ᎦᎸᏉᏗᎭ	[galvːkwoːhdiha] /rrd/
Gloves	ᎠᎵᏰᏑᎶ	[aliyésuloː] /rrd/
Gloves	ᏗᎴᏰᏑᎶ	[diːleːyeːsuʔlo] /rrd/
Gnats	ᏙᏌ	[dosa] /rrd/
Gnawing	ᎠᏍᎪᎩᎠ	[ahsgoːgiʔa] /rrd/
Goat	ᏧᎦᏍᏆᎾᎩᏓ	[tsuːksgwanagiːda] /rrd/
Gobbler	ᎦᎳᎩᎾ	[galagiːna] /rrd/
God	ᎤᏁᎳᏅᎯ	[uneːhlanvːhi] /rrd/
Going	ᎡᎦ	[eːga] /rrd/
Going across a hill	ᏕᎦᎶᎨᎵ	[deːgaloːkeːli] /rrd/
Going after	ᎤᏯᎵ	[uːyhali] /rrd/
Going back	ᎢᎡᎦ	[íːʔeːga] /rrd/
Going down hill	ᎠᎦᏐᏗᎭ	[agaʔsóhdiha] /rrd/
Going in a circle	ᎠᏕᏲᎭ	[aːdeːhyoha] /rrd/
Going on a trip	ᎠᏁᎳᏗᎠ	[ahneːladiʔa] /rrd/
Going out	ᎬᏓᎶᏍᎦ	[gvdaloːsga] (fire, light) /rrd/
Going out of it	ᎦᏄᎪᎦ	[ganuːgóːga] /rrd/
Going out of sight	ᎤᏕᎵᎦ	[uːdeːliga] /rrd/
Going over a hill	ᎦᏬᎯᎶᏍᎦ	[gawohiloːsga] /rrd/
Going somewhere	ᏩᎦᏘ	[wakti] /rrd/
Going then turning and coming back	ᎠᎪᎸᎠ	[agoːʔlvːʔa] /rrd/
Going there and lying down	ᎠᏏᏂ	[ahsíːhni] /rrd/
Going through	ᎠᎦᏛᎴᎭ	[aktv́ʔleːha] /rrd/
Going to eat	ᎠᎵᏍᏓᏴᏅᏍᎦ	[ahlsdaːhyvhnsga] /rrd/
Going to go visit someone	ᎠᏩᏛᎯ	[ahwatvhi] /rrd/
Going to the bathroom	ᎠᏨᎠ	[atsvːʔa] /rrd/
Going up a hill or mountain	ᎧᎿᎷᏍᎦ	[kanalǔːhsga] /rrd/
Golden-club	ᎦᏁᏏ	[ganeːsi] /rrd/
Goldfinch	ᏩᏓᎬ	[wadaːgv] /rrd/
Good	ᎣᏍᏓ	[oːsda] /rrd/
Good	ᎣᏏ	[oːsi] /rrd/
Goose	ᏌᏌ	[sasa] /rrd/
Gourd	ᎦᎸᎾ	[galvʔna] /rrd/
Gourd dipper	ᎦᎸᎾ	[galvʔna] /rrd/
Graduating	ᏓᏍᏆᏗᎠ	[daːsgwaːdía] /rrd/
